committee_id,committee_name,report_year,file_number,payee_name,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,support_oppose_indicator,candidate_id,candidate_name,candidate_office,candidate_office_state,candidate_office_district,candidate_party,election_type,election_type_full
C00487470,CLUB FOR GROWTH ACTION,2022,1593238,CLUB FOR GROWTH,RADIO AD COSTS (FROM ADVANCE LINE 21),4/20/22 0:00,4/20/22 0:00,37.29,S,H2NC05157,"HINES, ROBERT",H,NC,13,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1573503,PRIME MEDIA PARTNERS,DIGITAL ADVERTISING,3/10/22 0:00,3/10/22 0:00,8942,O,S2OH00436,"VANCE, J D",S,OH,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2021,1547523,CLUB FOR GROWTH,INTERNET COMMUNICATIONS (FROM ADVANCE LINE 21),10/25/21 0:00,10/25/21 0:00,10.17,O,S2OH00436,"VANCE, J D",S,OH,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2021,1514640,"RUMBLEUP, LLC",TEXT MESSAGING,4/27/21 0:00,4/27/21 0:00,5711.28,S,H2TX06251,"WRIGHT, SUSAN",H,TX,6,REP,S2021,SPECIAL-GENERAL
C00487470,CLUB FOR GROWTH ACTION,2021,1524799,CLUB FOR GROWTH,MAIL PRODUCTION (FROM ADVANCE LINE 21),7/12/21 0:00,7/12/21 0:00,166.22,O,H2OH15145,"LARE, JEFF",H,OH,15,REP,S2021,SPECIAL-PRIMARY
C00487470,CLUB FOR GROWTH ACTION,2022,1590097,"THE STONERIDGE GROUP, LLC","MAIL PRODUCTION, POSTAGE",4/20/22 0:00,4/21/22 0:00,12664.68,S,H4WV02080,"MOONEY, ALEXANDER XAVIER",H,WV,2,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1558136,"BIG DOG STRATEGIES, LLC","MAIL PRODUCTION, POSTAGE",1/14/22 0:00,1/20/22 0:00,35186.58,S,S8AL00381,"BROOKS, MO",S,AL,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1600846,COLD SPARK MEDIA,"MAIL PRODUCTION, POSTAGE",6/2/22 0:00,6/7/22 0:00,11610.57,S,H0IL15129,"MILLER, MARY",H,IL,15,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1556136,CLUB FOR GROWTH,RADIO AD PRODUCTION (FROM ADVANCE LINE 21),1/12/22 0:00,1/12/22 0:00,148.76,S,S8AL00381,"BROOKS, MO",S,AL,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1600846,COLD SPARK MEDIA,"MAIL PRODUCTION, POSTAGE",6/2/22 0:00,6/7/22 0:00,11610.57,O,H2IL13120,"DAVIS, RODNEY L",H,IL,15,REP,P2022,
